date,china_return,china_vol,usa_return1,usa1_vol,usa_return2,usa2_vol,euro_return,euro_vol,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility
2013-10-1,0.000931471,0.005848823,0.008912223,0.006095811,0.013034378,0.007234358,0.00138758,0.003811044,-2.269,-0.154,-0.367,-0.387,-0.423,-0.938
2013-10-2,-0.009026542,0.006437877,0.005223812,0.006312635,-0.002077799,0.006814249,-0.007458593,0.003725704,-2.191,-0.153,-0.325,-0.368,-0.418,-0.927
2013-10-3,0.009221451,0.007563993,0.013047055,0.007506884,-0.009283126,0.007572482,0.001378138,0.00376124,-2.189,-0.157,-0.301,-0.36,-0.43,-0.941
2013-10-4,-0.006333425,0.007722955,0.005573263,0.007196203,0.010423692,0.007814076,-0.007017825,0.004589956,-2.289,-0.177,-0.307,-0.375,-0.435,-0.995
2013-10-7,0.002008297,0.007603178,0.000606966,0.006937188,-0.011464623,0.009170757,-0.003102791,0.004606006,-2.116,-0.183,-0.263,-0.347,-0.436,-0.887
2013-10-8,-0.010550451,0.006968206,-0.000840513,0.006820118,-0.017125537,0.011171296,-0.009530711,0.004489386,-2.069,-0.191,-0.226,-0.349,-0.453,-0.85
2013-10-9,-0.003547358,0.006984314,0.001493757,0.004932971,-0.00284188,0.011168665,-0.017146326,0.006547773,-2.016,-0.192,-0.224,-0.359,-0.447,-0.794
2013-10-10,0.000766335,0.006971173,0.007967799,0.004815163,0.022456413,0.013675998,0.007781709,0.008019016,-2.392,-0.224,-0.32,-0.391,-0.465,-0.992
2013-10-11,0.010003602,0.007674464,0.00746857,0.004927392,0.004645619,0.013856687,0.012460707,0.010234951,-2.642,-0.232,-0.365,-0.399,-0.495,-1.151
2013-10-14,0.007145131,0.007299734,-0.00585026,0.004989049,0.006387093,0.013452792,0.005639334,0.010601195,-2.592,-0.239,-0.373,-0.397,-0.453,-1.13
2013-10-15,0.003591859,0.006829751,0.000300255,0.004815561,-0.005925562,0.013117669,-0.0020997,0.010338877,-2.631,-0.264,-0.375,-0.402,-0.521,-1.069
2013-10-16,-0.000980878,0.006874692,-0.001386546,0.004940867,0.020171699,0.014141468,-0.000217462,0.01029182,-2.8,-0.264,-0.41,-0.402,-0.495,-1.229
2013-10-17,-0.00152502,0.004939107,0.004199942,0.004942924,0.008304184,0.010656998,0.013107858,0.010515288,-2.961,-0.267,-0.433,-0.362,-0.485,-1.414
2013-10-18,0.003398977,0.004238209,0.009625375,0.00569487,-0.003126238,0.010703872,0.003517704,0.005852674,-3.143,-0.289,-0.463,-0.346,-0.479,-1.566
2013-10-21,0.004839904,0.00412655,0.001116949,0.005312643,-0.005485497,0.009346382,0.004233375,0.005799939,-3.172,-0.305,-0.476,-0.36,-0.482,-1.549
2013-10-22,0.006098287,0.003332868,0.002480177,0.004799596,0.009938328,0.009657072,0.017803267,0.007112355,-3.277,-0.293,-0.495,-0.331,-0.494,-1.664
2013-10-23,-0.006553378,0.004473327,-0.009498873,0.005820211,-0.000860292,0.009786581,0.00202059,0.007272462,-3.162,-0.294,-0.438,-0.306,-0.492,-1.632
2013-10-24,0.018882839,0.008078484,0.001306875,0.005813142,-0.001220016,0.009191767,0.007022805,0.006459584,-3.235,-0.297,-0.45,-0.303,-0.519,-1.666
2013-10-25,0.004564919,0.007839761,-0.001995391,0.005861261,0.000681957,0.005782238,0.00169196,0.006147423,-3.184,-0.289,-0.416,-0.298,-0.514,-1.667
2013-10-28,0.012607504,0.007925813,-0.00062007,0.005708416,0.002776859,0.004966447,0.005333346,0.005544743,-3.21,-0.291,-0.445,-0.301,-0.509,-1.664
2013-10-29,0.003986646,0.00789347,0.001079133,0.004072177,0.006562078,0.005170172,-0.000291738,0.005991742,-3.238,-0.291,-0.451,-0.297,-0.536,-1.663
2013-10-30,0.003140651,0.007973257,0.00512716,0.004641543,-0.00661575,0.005444894,0.005391956,0.005970045,-3.19,-0.297,-0.455,-0.291,-0.529,-1.618
2013-10-31,-0.002409187,0.008598162,-0.012474461,0.006294352,-0.004788431,0.004443138,-0.0123329,0.006516837,-3.072,-0.333,-0.426,-0.283,-0.515,-1.515
2013-11-1,0.001825712,0.007211142,-0.007098974,0.005898669,0.00582559,0.005031182,-0.009115042,0.007574237,-2.952,-0.332,-0.404,-0.295,-0.521,-1.4
2013-11-4,0.003675446,0.004490816,-0.00532239,0.005792388,0.00119676,0.004979309,0.003047588,0.007062967,-3.016,-0.333,-0.414,-0.288,-0.516,-1.465
2013-11-5,0.004530074,0.004489993,-0.005374401,0.005831146,-0.002520221,0.005137151,0.000156482,0.006992677,-2.908,-0.325,-0.396,-0.309,-0.51,-1.368
